time|position|velocity|acceleration|rotation|rotational velocity|sun|charge
3960|-4005259.212382311,-7440093.738324465,2108996.86746065|5100.1938950898,-2238.6472190089044,-1582.1802341387993|0,0,0|0,0,0|0,0,0|-0.9999996890205024,-0.0007886434463292632,0|9.745893397131157
3961|-4002263.342521964,-7441407.769304513,2108067.399648199|5101.613050395353,-2236.0098037605194,-1582.9276150063304|0,0,0|0,0,0|0,0,0|-0.9999996888634619,-0.0007888425483950965,0|9.746032505001287
3962|-3999265.619545765,-7442720.697356301,2107137.1764405314|5103.031860606947,-2233.370588951838,-1583.6750440727333|0,0,0|0,0,0|0,0,0|-0.9999996887063818,-0.0007890416504608986,0|9.746171612926679
3963|-3996266.0417858064,-7444032.520937141,2106206.197105939|5104.450325150056,-2230.729572348219,-1584.4225213465297|0,0,0|0,0,0|0,0,0|-0.999999688549262,-0.0007892407525266693,0|9.746310720907333
3964|-3993264.6075726533,-7445343.238500354,2105274.4609118016|5105.868443447692,-2228.086751711773,-1585.1700468356853|0,0,0|0,0,0|0,0,0|-0.9999996883921026,-0.0007894398545924088,0|9.746449828943252
3965|-3990222.299208968,-7446669.849125009,2104329.851829104|5107.304625253003,-2225.4077671060722,-1585.9273296143376|0,0,0|0,0,0|0,0,0|-0.9999996882349036,-0.000789638956658117,0|9.74658893703443
3966|-3987256.16310152,-7447961.349367169,2103408.71500988|5108.703638986257,-2222.795689372677,-1586.6652424891145|0,0,0|0,0,0|0,0,0|-0.9999996880776649,-0.0007898380587237939,0|9.746728045180872
3967|-3984210.085120545,-7449285.711337969,2102462.5688207773|5110.1391163546305,-2220.113038449458,-1587.4226229861194|0,0,0|0,0,0|0,0,0|-0.9999996879203866,-0.0007900371607894395,0|9.746867153382576
3968|-3981201.1841624086,-7450591.97482869,2101527.787971732|5111.555839320241,-2217.46295567752,-1588.170342031637|0,0,0|0,0,0|0,0,0|-0.9999996877630687,-0.0007902362628550538,0|9.747006261639545
3969|-3978190.418359503,-7451897.124487808,2100592.246576835|5112.972213110663,-2214.811057605362,-1588.9181093239335|0,0,0|0,0,0|0,0,0|-0.9999996876057111,-0.0007904353649206368,0|9.747145369951772
3970|-3975138.6486530676,-7453218.086910399,2099643.7791120806|5114.40662475304,-2212.122866170618,-1589.6756370751564|0,0,0|0,0,0|0,0,0|-0.9999996874483139,-0.0007906344669861885,0|9.747284478319264
3971|-3972163.285503838,-7454504.076023702,2098718.879196209|5115.8039107958075,-2209.5018065273616,-1590.413788666535|0,0,0|0,0,0|0,0,0|-0.9999996872908771,-0.0007908335690517088,0|9.747423586742018
